,Star_name.1,Distance.1,Mass.1,Radius.1
35,2MASP J0345432+254023,88.0,0.070639512,0.10790115
36,Teide 1,380.0,0.05250234,0.3884441399999999
37,2MASS J03510004-0052452,48.0,0.097367976,0.1305090099999999
38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
39,2MASS J04151954−0935066,18.6,0.02863764,0.0976248499999999
40,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167
41,2MASS J04351612-1606574,34.0,0.0954588,0.1294813799999999
42,2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999
43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.0996801099999999
44,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999
45,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763
46,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999
47,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763
48,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999
49,2MASS J05160945-0445499 [de],73.0,0.044865636,0.0996801099999999
50,2MASS J0523−1403,40.0,0.064911984,0.10379063
51,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063
52,LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999
53,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
54,2MASS J06244595-4521548 [de],39.0,0.053456928,0.1017353699999999
55,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063
56,DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115
57,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
58,UGPS J072227.51-054031.2,13.4,0.024819288,0.1007077399999999
59,2MASSI J0727182+171001 [de],29.6,0.039138108,0.0965972199999999
60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.0965972199999999
61,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.0965972199999999
62,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589
63,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999
64,DENIS J081730.0-615520,16.1,0.042001872,0.0965972199999999
65,2MASS J08251968+2115521 [de],35.0,0.049638576,0.1007077399999999
66,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.1017353699999999
67,LHS 2021,55.0,0.084003744,0.1181774499999999
68,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.0986524799999999
69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
70,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
71,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
72,2MASSI J0859254-194926 [de],50.0,0.0477294,0.1007077399999999
73,2MASSI J0937347+293142,20.0,0.040092696,0.0965972199999999
74,2MASS 0939−2448,17.4,0.030546816,0.0976248499999999
75,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999
76,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999
77,2MASSI J1010148-040649 [de],55.0,0.048683988,0.1007077399999999
78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999
79,2MASSW J1036530-344138 [de],53.0,0.046774812,0.0996801099999999
80,2MASS J1047538+212423 [de],34.4,0.040092696,0.0965972199999999
81,DEN 1048-3956,13.15,0.073503276,0.10995641
82,Luhman 16B,6.516,0.041047284,0.10481826
83,Luhman 16A,6.516,0.03818352,0.10379063
84,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
85,TWA 28,180.0,0.034365168,0.24560357
86,Cha 110913-773444,163.0,0.007636704,0.1849733999999999
87,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
88,2MASS J11145133−2618235,18.2,0.031501404,0.0986524799999999
89,TWA 26,137.0,0.02863764,0.2260786
90,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445
91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
92,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
93,2MASSI J1217110-031113 [de],36.0,0.040092696,0.0965972199999999
94,2M 1237+6526,45.6,0.039138108,0.0965972199999999
95,TWA 29,262.0,0.001909176,2.569075
